"","flight_date","flight_status","departure.airport","departure.timezone","departure.iata","departure.icao","departure.terminal","departure.gate","departure.delay","departure.scheduled","departure.estimated","departure.actual","departure.estimated_runway","departure.actual_runway","arrival.airport","arrival.timezone","arrival.iata","arrival.icao","arrival.terminal","arrival.gate","arrival.baggage","arrival.delay","arrival.scheduled","arrival.estimated","arrival.actual","arrival.estimated_runway","arrival.actual_runway","airline.name","airline.iata","airline.icao","flight.number","flight.iata","flight.icao","flight.codeshared","aircraft","live","flight.codeshared.airline_name","flight.codeshared.airline_iata","flight.codeshared.airline_icao","flight.codeshared.flight_number","flight.codeshared.flight_iata","flight.codeshared.flight_icao","aircraft.registration","aircraft.iata","aircraft.icao","aircraft.icao24"
"2584","2019-12-07","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","2","E6",25,"2019-12-07T07:20:00+00:00","2019-12-07T07:20:00+00:00","2019-12-07T07:45:00+00:00","2019-12-07T07:45:00+00:00","2019-12-07T07:45:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"5",10,"2019-12-07T10:10:00+00:00","2019-12-07T10:10:00+00:00","2019-12-07T10:19:00+00:00","2019-12-07T10:19:00+00:00","2019-12-07T10:19:00+00:00","Batik Air","ID","BTK","6506","ID6506","BTK6506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2585","2019-12-07","landed","Waioti","Asia/Makassar","MOF","WATC",NA,NA,NA,"2019-12-07T08:35:00+00:00","2019-12-07T08:35:00+00:00","2019-12-07T08:16:00+00:00","2019-12-07T08:16:00+00:00","2019-12-07T08:16:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"5",NA,"2019-12-07T10:25:00+00:00","2019-12-07T10:25:00+00:00","2019-12-07T10:15:00+00:00","2019-12-07T10:15:00+00:00","2019-12-07T10:15:00+00:00","Wings Air (Indonesia)","IW","WON","1821","IW1821","WON1821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2586","2019-12-07","landed","Hasanudin","Asia/Makassar","UPG","WAAA",NA,"6",19,"2019-12-07T09:10:00+00:00","2019-12-07T09:10:00+00:00","2019-12-07T09:29:00+00:00","2019-12-07T09:29:00+00:00","2019-12-07T09:29:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"5",4,"2019-12-07T10:30:00+00:00","2019-12-07T10:30:00+00:00","2019-12-07T10:34:00+00:00","2019-12-07T10:34:00+00:00","2019-12-07T10:34:00+00:00","Lion Air","JT","LNI","741","JT741","LNI741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2587","2019-12-07","landed","Adisutjipto","Asia/Jakarta","JOG","WAHH",NA,NA,NA,"2019-12-07T08:10:00+00:00","2019-12-07T08:10:00+00:00","2019-12-07T08:10:00+00:00","2019-12-07T08:10:00+00:00","2019-12-07T08:10:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"3",NA,"2019-12-07T10:30:00+00:00","2019-12-07T10:30:00+00:00","2019-12-07T10:08:00+00:00","2019-12-07T10:08:00+00:00","2019-12-07T10:08:00+00:00","AirAsia","AK","AXM","8441","AK8441","AXM8441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2588","2019-12-07","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","2","D4",22,"2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:56:00+00:00","2019-12-07T07:56:00+00:00","2019-12-07T07:56:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"4",NA,"2019-12-07T10:35:00+00:00","2019-12-07T10:35:00+00:00","2019-12-07T10:29:00+00:00","2019-12-07T10:29:00+00:00","2019-12-07T10:29:00+00:00","Citilink","QG","CTV","682","QG682","CTV682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2589","2019-12-07","landed","Kuala Lumpur International Airport (klia)","Asia/Kuala_Lumpur","KUL","WMKK","1","C2",36,"2019-12-07T07:30:00+00:00","2019-12-07T07:30:00+00:00","2019-12-07T08:05:00+00:00","2019-12-07T08:05:00+00:00","2019-12-07T08:05:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"5",9,"2019-12-07T10:40:00+00:00","2019-12-07T10:40:00+00:00","2019-12-07T10:49:00+00:00","2019-12-07T10:49:00+00:00","2019-12-07T10:49:00+00:00","Malindo Air","OD","MXD","324","OD324","MXD324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2590","2019-12-07","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","3","U16",25,"2019-12-07T07:45:00+00:00","2019-12-07T07:45:00+00:00","2019-12-07T08:09:00+00:00","2019-12-07T08:09:00+00:00","2019-12-07T08:09:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"1",NA,"2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:41:00+00:00","2019-12-07T10:41:00+00:00","2019-12-07T10:41:00+00:00","Bangkok Airways","PG","BKP","4310","PG4310","BKP4310",NA,NA,NA,"garuda indonesia","ga","gia","402","ga402","gia402",NA,NA,NA,NA
"2591","2019-12-07","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","3","U16",25,"2019-12-07T07:45:00+00:00","2019-12-07T07:45:00+00:00","2019-12-07T08:09:00+00:00","2019-12-07T08:09:00+00:00","2019-12-07T08:09:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"1",NA,"2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:41:00+00:00","2019-12-07T10:41:00+00:00","2019-12-07T10:41:00+00:00","Turkish Airlines","TK","THY","9364","TK9364","THY9364",NA,NA,NA,"garuda indonesia","ga","gia","402","ga402","gia402",NA,NA,NA,NA
"2592","2019-12-07","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","3","U16",25,"2019-12-07T07:45:00+00:00","2019-12-07T07:45:00+00:00","2019-12-07T08:09:00+00:00","2019-12-07T08:09:00+00:00","2019-12-07T08:09:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","D",NA,"1",NA,"2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:41:00+00:00","2019-12-07T10:41:00+00:00","2019-12-07T10:41:00+00:00","Garuda Indonesia","GA","GIA","402","GA402","GIA402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2593","2019-12-07","landed","Perth International","Australia/Perth","PER","YPPH","1","55",4,"2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:38:00+00:00","2019-12-07T07:38:00+00:00","2019-12-07T07:38:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"6",11,"2019-12-07T11:00:00+00:00","2019-12-07T11:00:00+00:00","2019-12-07T11:10:00+00:00","2019-12-07T11:10:00+00:00","2019-12-07T11:10:00+00:00","KLM","KL","KLM","4030","KL4030","KLM4030",NA,NA,NA,"garuda indonesia","ga","gia","727","ga727","gia727",NA,NA,NA,NA
"2594","2019-12-07","landed","Perth International","Australia/Perth","PER","YPPH","1","55",4,"2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:38:00+00:00","2019-12-07T07:38:00+00:00","2019-12-07T07:38:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"6",11,"2019-12-07T11:00:00+00:00","2019-12-07T11:00:00+00:00","2019-12-07T11:10:00+00:00","2019-12-07T11:10:00+00:00","2019-12-07T11:10:00+00:00","China Airlines","CI","CAL","9793","CI9793","CAL9793",NA,NA,NA,"garuda indonesia","ga","gia","727","ga727","gia727",NA,NA,NA,NA
"2595","2019-12-07","landed","Perth International","Australia/Perth","PER","YPPH","1","55",4,"2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:38:00+00:00","2019-12-07T07:38:00+00:00","2019-12-07T07:38:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"6",11,"2019-12-07T11:00:00+00:00","2019-12-07T11:00:00+00:00","2019-12-07T11:10:00+00:00","2019-12-07T11:10:00+00:00","2019-12-07T11:10:00+00:00","Garuda Indonesia","GA","GIA","727","GA727","GIA727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2596","2019-12-07","landed","Perth International","Australia/Perth","PER","YPPH","1","52",10,"2019-12-07T07:15:00+00:00","2019-12-07T07:15:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"2",NA,"2019-12-07T11:00:00+00:00","2019-12-07T11:00:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","Qantas","QF","QFA","295","QF295","QFA295",NA,NA,NA,"jetstar","jq","jst","110","jq110","jst110",NA,NA,NA,NA
"2597","2019-12-07","landed","Perth International","Australia/Perth","PER","YPPH","1","52",10,"2019-12-07T07:15:00+00:00","2019-12-07T07:15:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"2",NA,"2019-12-07T11:00:00+00:00","2019-12-07T11:00:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","KLM","KL","KLM","3536","KL3536","KLM3536",NA,NA,NA,"jetstar","jq","jst","110","jq110","jst110",NA,NA,NA,NA
"2598","2019-12-07","landed","Perth International","Australia/Perth","PER","YPPH","1","52",10,"2019-12-07T07:15:00+00:00","2019-12-07T07:15:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","2019-12-07T07:25:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"2",NA,"2019-12-07T11:00:00+00:00","2019-12-07T11:00:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","2019-12-07T10:45:00+00:00","Jetstar","JQ","JST","110","JQ110","JST110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2599","2019-12-07","landed","Polonia","Asia/Jakarta","KNO","WIMM","1","4",55,"2019-12-07T06:40:00+00:00","2019-12-07T06:40:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"6",38,"2019-12-07T11:05:00+00:00","2019-12-07T11:05:00+00:00","2019-12-07T11:42:00+00:00","2019-12-07T11:42:00+00:00","2019-12-07T11:42:00+00:00","Air Europa","UX","AEA","3554","UX3554","AEA3554",NA,NA,NA,"garuda indonesia","ga","gia","89","ga89","gia89",NA,NA,NA,NA
"2600","2019-12-07","landed","Polonia","Asia/Jakarta","KNO","WIMM","1","4",55,"2019-12-07T06:40:00+00:00","2019-12-07T06:40:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"6",38,"2019-12-07T11:05:00+00:00","2019-12-07T11:05:00+00:00","2019-12-07T11:42:00+00:00","2019-12-07T11:42:00+00:00","2019-12-07T11:42:00+00:00","Aeromexico","AM","AMX","7403","AM7403","AMX7403",NA,NA,NA,"garuda indonesia","ga","gia","89","ga89","gia89",NA,NA,NA,NA
"2601","2019-12-07","landed","Polonia","Asia/Jakarta","KNO","WIMM","1","4",55,"2019-12-07T06:40:00+00:00","2019-12-07T06:40:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","2019-12-07T07:35:00+00:00","Ngurah Rai International","Asia/Makassar","DPS","WADD","I",NA,"6",38,"2019-12-07T11:05:00+00:00","2019-12-07T11:05:00+00:00","2019-12-07T11:42:00+00:00","2019-12-07T11:42:00+00:00","2019-12-07T11:42:00+00:00","Garuda Indonesia","GA","GIA","89","GA89","GIA89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
